"","Term","Genotype","Estimate","Std.error","Statistic","p.value","Model","Site.name"
"2016","hill","920",-38.9381538735223,38.1185038259391,-1.02150268151463,0.307627629176184,"W2.3","Pelorus East"
"2017","hill","921",-58.1030394907377,281.380747915004,-0.206492590275894,0.836510177495076,"W2.3","Pelorus East"
"2018","hill","922",-26.1526696313653,5.49836797976505,-4.75644222569528,2.74663725385753e-06,"W2.3","Pelorus East"
"2019","hill","923",-31.292909664817,10.0432605995095,-3.11581177793446,0.00196533901317241,"W2.3","Pelorus East"
"2020","hill","924",-25.9069667510379,NA,NA,NA,"W2.3","Pelorus East"
"2021","hill","925",-20.0995991220277,4.86062132032818,-4.13519132584281,4.31583148565768e-05,"W2.3","Pelorus East"
"2022","hill","926",-77.0135810194608,NA,NA,NA,"W2.3","Pelorus East"
"2023","hill","927",-33.5751515234319,8.98392621312111,-3.73724702618272,0.000212853671297079,"W2.3","Pelorus East"
"2024","hill","928",-29.9851190817469,9.54606924403978,-3.1410959123797,0.00180703735663896,"W2.3","Pelorus East"
"2025","hill","929",-57.3812433013481,134.050920999104,-0.42805556928424,0.668838762650053,"W2.3","Pelorus East"
"2026","hill","930",-36.5184860397632,48.678645126241,-0.750195202538152,0.453573814751399,"W2.3","Pelorus East"
"2027","hill","931",-53.7981982684714,171.474162919422,-0.313739384129561,0.75388091348119,"W2.3","Pelorus East"
"2028","hill","932",-91.470475338214,NA,NA,NA,"W2.3","Pelorus East"
"2029","hill","933",-24.1345221600699,5.58250661927065,-4.32324111838187,1.93883903451472e-05,"W2.3","Pelorus East"
"2030","hill","934",-72.1102354476547,82.9242759827923,-0.86959137831506,0.385040094509733,"W2.3","Pelorus East"
"2031","hill","935",-26.1164662517644,5.01713134734892,-5.20545794870697,3.08698394887373e-07,"W2.3","Pelorus East"
"2032","hill","936",-34.0880863216824,6.7001826125875,-5.08763541125606,5.5637972533866e-07,"W2.3","Pelorus East"
"2033","hill","937",-37.1559404836303,10.8602079932352,-3.42129179356185,0.000686799219961333,"W2.3","Pelorus East"
"2034","hill","938",-100.272106535835,71.3784912046563,-1.40479442537297,0.160850814132199,"W2.3","Pelorus East"
"2035","hill","939",-75.0436365163525,160.685748793676,-0.467021108466254,0.640736542319261,"W2.3","Pelorus East"
"2036","hill","940",-21.9183565555876,4.35258076679545,-5.03571506881532,7.18778052270004e-07,"W2.3","Pelorus East"
"2037","hill","941",-99.5553020276027,74.0299395982247,-1.34479782866107,0.179445008811042,"W2.3","Pelorus East"
"2038","max","897",0.751413599442131,0.0227388036872862,33.0454323708448,3.2978345936424e-117,"W2.3","Pelorus East"
"2039","max","898",0.766891528819979,0.0227205781947498,33.7531695825061,6.11478987403297e-120,"W2.3","Pelorus East"
"2040","max","899",0.761498545541486,0.0227326163635055,33.4980599401651,5.86086235606472e-119,"W2.3","Pelorus East"
"2041","max","900",0.772502163910412,0.0227351406911888,33.9783322392107,8.37470983938263e-121,"W2.3","Pelorus East"
"2042","max","901",0.690736904662924,0.0227386445969386,30.3772241884602,1.14754560197197e-106,"W2.3","Pelorus East"
"2043","max","902",0.784584489475889,0.0311750748459349,25.1670442927003,4.71502019951039e-85,"W2.3","Pelorus East"
"2044","max","903",0.756811608026322,0.0227438991013818,33.27536780975,4.2432722303145e-118,"W2.3","Pelorus East"
"2045","max","904",0.789279806195125,0.0229694036643816,34.3622245369414,2.86587852360694e-122,"W2.3","Pelorus East"
"2046","max","905",0.750597511447721,0.0277500786069439,27.048482351322,5.29990525148861e-93,"W2.3","Pelorus East"
"2047","max","906",0.776215520059736,0.0277949011356517,27.9265436589054,1.16827018415724e-96,"W2.3","Pelorus East"
"2048","max","907",0.722981482238323,0.0278366447952298,25.972292550222,1.79147586378496e-88,"W2.3","Pelorus East"
"2049","max","908",0.636275319415056,0.0227398510302523,27.9806283061652,6.97403706308542e-97,"W2.3","Pelorus East"
"2050","max","909",0.8,0.0256824963697631,31.1496198999513,9.31607354824018e-110,"W2.3","Pelorus East"
"2051","max","910",0.774621314079267,0.0285469361966771,27.1350070194024,2.30333704049759e-93,"W2.3","Pelorus East"
"2052","max","911",0.8,0.0348616221319885,22.947870783842,1.65471831359017e-75,"W2.3","Pelorus East"
"2053","max","912",0.750979050957036,0.0271855210221406,27.6242287335755,2.1013809823555e-95,"W2.3","Pelorus East"
"2054","max","913",0.77573978022919,0.0262139473582075,29.592635158257,1.70164678192596e-103,"W2.3","Pelorus East"
"2055","max","914",0.785900856240631,0.0238630592900298,32.9337846706431,8.94681331398145e-117,"W2.3","Pelorus East"
"2056","max","915",0.768960848489529,0.0227384666524044,33.8176210491404,3.45902080983319e-120,"W2.3","Pelorus East"
"2057","max","916",0.8,0.022911287222936,34.9172873708788,2.25015842302015e-124,"W2.3","Pelorus East"
"2058","max","917",0.776000207381843,0.0238782511521764,32.4982010799863,4.45802525527485e-115,"W2.3","Pelorus East"
"2059","max","918",0.732186142063841,0.0261688482953187,27.9793032464031,7.06271978831044e-97,"W2.3","Pelorus East"
"2060","max","919",0.66374206832604,0.0227380561719429,29.1908008013917,7.3647257851856e-102,"W2.3","Pelorus East"
"2061","max","920",0.786052992516238,0.0227388688048935,34.5686937754387,4.70189794673955e-123,"W2.3","Pelorus East"
"2062","max","921",0.7854574012229,0.0227389235596355,34.5424179452887,5.9162077086208e-123,"W2.3","Pelorus East"
"2063","max","922",0.760298468669985,0.0271721550825631,27.9807938074769,6.96303910987573e-97,"W2.3","Pelorus East"
"2064","max","923",0.775098924843453,0.0246562760211589,31.4361716334737,6.77134631267653e-111,"W2.3","Pelorus East"
"2065","max","924",0.775298611696008,0.0180666517075841,42.9132428213331,7.28233423162721e-153,"W2.3","Pelorus East"
"2066","max","925",0.746301979093404,0.0270335369690595,27.6065237023022,2.4896280555851e-95,"W2.3","Pelorus East"
"2067","max","926",0.777599195372435,0.0227378645171513,34.1984268041482,1.20686940165239e-121,"W2.3","Pelorus East"
"2068","max","927",0.761284323464423,0.027152861022041,28.0369837582294,4.07536069212913e-97,"W2.3","Pelorus East"
"2069","max","928",0.793826512123565,0.026930999083657,29.4763112819418,5.05481000471424e-103,"W2.3","Pelorus East"
"2070","max","929",0.757464932359815,0.0227390557378196,33.3111867569769,3.08485127311482e-118,"W2.3","Pelorus East"
"2071","max","930",0.8,0.0227482490576117,35.167541817128,2.56229756519123e-125,"W2.3","Pelorus East"
"2072","max","931",0.739358337059497,0.0227390573625326,32.5149070725222,3.83574801109983e-115,"W2.3","Pelorus East"
"2073","max","932",0.600021559234286,0.0227396972400639,26.3865236594768,3.19214122786869e-90,"W2.3","Pelorus East"
"2074","max","933",0.718035409934569,0.0265340879261784,27.0608664572246,4.70378888391466e-93,"W2.3","Pelorus East"
"2075","max","934",0.747461273692172,0.0227395631672017,32.870520343604,1.5760618802077e-116,"W2.3","Pelorus East"
